Folder,Form,RecordPosition,AuditAction,error
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,9.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,10.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,11.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0003,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,11.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,9.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0004,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,9.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,10.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,11.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,9.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0005,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,5.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,6.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,3.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,4.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,1.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,2.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0006,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0007,,7.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0007,,8.0,Record Inactivated.,None is not of type 'string'
Adverse Event/SAE/ADR - Study 1_1003001_0007,,9.0,Record Inactivated.,None is not of type 'string'
Disposition,,2.0,Record Inactivated.,None is not of type 'string'
Follow-up (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Prior or Concomitant Medication (1),,17.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Prior or Concomitant Medication (1),,23.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Prior or Concomitant Medication (1),,24.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Prior or Concomitant Medication (1),,27.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Procedures (1),,8.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,4.0,Record Inactivated.,None is not of type 'string'
Screening,,5.0,Record Inactivated.,None is not of type 'string'
Screening,,6.0,Record Inactivated.,None is not of type 'string'
Screening,,7.0,Record Inactivated.,None is not of type 'string'
Screening,,8.0,Record Inactivated.,None is not of type 'string'
Screening,,9.0,Record Inactivated.,None is not of type 'string'
Screening,,5.0,Record Inactivated.,None is not of type 'string'
Screening,,6.0,Record Inactivated.,None is not of type 'string'
Screening,,7.0,Record Inactivated.,None is not of type 'string'
Screening,,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,5.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,6.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,7.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,8.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,9.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,5.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,6.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,7.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,6.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,7.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,8.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Screening,,nan,DataPage Inactivated.,None is not of type 'string'
Screening,,1.0,Record Inactivated.,None is not of type 'string'
Unplanned Visit (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Unplanned Visit (1),,nan,DataPage Inactivated.,None is not of type 'string'
Unplanned Visit (11),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Unplanned Visit (11),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
Unplanned Visit (11),,nan,DataPage Inactivated.,None is not of type 'string'
Unplanned Visit (11),,nan,DataPage Inactivated.,None is not of type 'string'
Unplanned Visit (11),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
Unplanned Visit (2),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
Unplanned Visit (2),,nan,DataPage Inactivated.,None is not of type 'string'
Unplanned Visit (6),,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W10D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W10D1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W10D1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W10D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W10D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W11D7 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W11D7 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W13D1 (1),,4.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,8.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,9.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W13D1 (1),,5.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W13D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W13D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W16D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W16D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W16D1 (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W16D1 (1),,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W16D1 (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,5.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,5.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W19D1 (1),,4.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,8.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,9.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W19D1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W19D1 (1),,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W1D1 (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W1D1 (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W1D3 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W1D3 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W1D3 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,5.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,5.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W22D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W25D1 (1),,4.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,8.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,9.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W25D1 (1),,5.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W25D1 (1),,6.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W25D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W25D1 (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
W25D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W25D1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
W25D1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W25D1 (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W25D1 (1),,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W28D1 (1),,nan,DataPage Inactivated.,None is not of type 'string'
W28D1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W7D1 (1),,4.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,8.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,9.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,5.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,6.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,7.0,Record Inactivated.,None is not of type 'string'
W7D1 (1),,5.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
W7D1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W7D1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
W7D3 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
