TestName,LabCategory,LabDate,IssueType,error
UCSWBCLP,,2025-07-28,Missing Lab name,None is not of type 'string'
UPROT,,2025-07-28,Missing Lab name,None is not of type 'string'
UPROTCRT,,2025-07-28,Missing Lab name,None is not of type 'string'
UTOTPRTE,,2025-07-28,Missing Lab name,None is not of type 'string'
CL,,2025-10-17,Missing Lab name,None is not of type 'string'
CREAT,,2025-10-17,Missing Lab name,None is not of type 'string'
K,,2025-10-17,Missing Lab name,None is not of type 'string'
SODIUM,,2025-10-17,Missing Lab name,None is not of type 'string'
URATE,,2025-10-17,Missing Lab name,None is not of type 'string'
BASOLE,,2025-10-17,Missing Lab name,None is not of type 'string'
EOSLE,,2025-10-17,Missing Lab name,None is not of type 'string'
HCT,,2025-10-17,Missing Lab name,None is not of type 'string'
HGB,,2025-10-17,Missing Lab name,None is not of type 'string'
LYMLE,,2025-10-17,Missing Lab name,None is not of type 'string'
MCH,,2025-10-17,Missing Lab name,None is not of type 'string'
MCHC,,2025-10-17,Missing Lab name,None is not of type 'string'
MONOLE,,2025-10-17,Missing Lab name,None is not of type 'string'
NEUTLE,,2025-10-17,Missing Lab name,None is not of type 'string'
PLAT,,2025-10-17,Missing Lab name,None is not of type 'string'
RBC,,2025-10-17,Missing Lab name,None is not of type 'string'
WBC,,2025-10-17,Missing Lab name,None is not of type 'string'
UPROT,,2025-10-17,Missing Lab name,None is not of type 'string'
UTOTPRTE,,2025-10-17,Missing Lab name,None is not of type 'string'
BASO,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
HCT,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
LYM,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
MONO,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
NEUT,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
ALB,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
ALP,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
ALT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
AST,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
BILDIR,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
BILI,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CA,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CHOL,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CL,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CREAT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
K,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
SODIUM,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
TPROT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
URATE,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
BASO,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
EOS,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
HGB,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
LYM,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
MONO,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
NEUT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
PLAT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
UPROT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
UALB,,2025-01-09,Ranges/ Units not entered,None is not of type 'string'
UCREAT,,2025-01-09,Ranges/ Units not entered,None is not of type 'string'
UPROTCRT,,2025-01-09,Ranges/ Units not entered,None is not of type 'string'
RBC,,2025-02-20,Ranges/ Units not entered,None is not of type 'string'
UALB,,2025-02-24,Ranges/ Units not entered,None is not of type 'string'
UCREAT,,2025-02-24,Ranges/ Units not entered,None is not of type 'string'
UALB,,2025-02-20,Ranges/ Units not entered,None is not of type 'string'
UCREAT,,2025-02-20,Ranges/ Units not entered,None is not of type 'string'
CL,,2025-05-20,Missing Lab name,None is not of type 'string'
CREAT,,2025-05-20,Missing Lab name,None is not of type 'string'
EGFR,,2025-05-20,Missing Lab name,None is not of type 'string'
K,,2025-05-20,Missing Lab name,None is not of type 'string'
SODIUM,,2025-05-20,Missing Lab name,None is not of type 'string'
ALB,,2025-06-03,Missing Lab name,None is not of type 'string'
ALP,,2025-06-03,Missing Lab name,None is not of type 'string'
ALT,,2025-06-03,Missing Lab name,None is not of type 'string'
AST,,2025-06-03,Missing Lab name,None is not of type 'string'
BICARB,,2025-06-03,Missing Lab name,None is not of type 'string'
BILDIR,,2025-06-03,Missing Lab name,None is not of type 'string'
BILI,,2025-06-03,Missing Lab name,None is not of type 'string'
BUN,,2025-06-03,Missing Lab name,None is not of type 'string'
CA,,2025-06-03,Missing Lab name,None is not of type 'string'
CHOL,,2025-06-03,Missing Lab name,None is not of type 'string'
CL,,2025-06-03,Missing Lab name,None is not of type 'string'
CREAT,,2025-06-03,Missing Lab name,None is not of type 'string'
EGFR,,2025-06-03,Missing Lab name,None is not of type 'string'
K,,2025-06-03,Missing Lab name,None is not of type 'string'
SODIUM,,2025-06-03,Missing Lab name,None is not of type 'string'
TPROT,,2025-06-03,Missing Lab name,None is not of type 'string'
URATE,,2025-06-03,Missing Lab name,None is not of type 'string'
ALB,,2025-01-08,Missing Lab name,None is not of type 'string'
ALP,,2025-01-08,Missing Lab name,None is not of type 'string'
BILDIR,,2025-01-08,Missing Lab name,None is not of type 'string'
BILI,,2025-01-08,Missing Lab name,None is not of type 'string'
CL,,2025-01-08,Missing Lab name,None is not of type 'string'
CREAT,,2025-01-08,Missing Lab name,None is not of type 'string'
EGFR,,2025-01-08,Missing Lab name,None is not of type 'string'
K,,2025-01-08,Missing Lab name,None is not of type 'string'
SODIUM,,2025-01-08,Missing Lab name,None is not of type 'string'
TPROT,,2025-01-08,Missing Lab name,None is not of type 'string'
BASO,,2025-01-08,Missing Lab name,None is not of type 'string'
EOS,,2025-01-08,Missing Lab name,None is not of type 'string'
HCT,,2025-01-08,Missing Lab name,None is not of type 'string'
HGB,,2025-01-08,Missing Lab name,None is not of type 'string'
LYM,,2025-01-08,Missing Lab name,None is not of type 'string'
MONO,,2025-01-08,Missing Lab name,None is not of type 'string'
NEUT,,2025-01-08,Missing Lab name,None is not of type 'string'
PLAT,,2025-01-08,Missing Lab name,None is not of type 'string'
ALB,,2025-09-05,Missing Lab name,None is not of type 'string'
ALP,,2025-09-05,Missing Lab name,None is not of type 'string'
ALT,,2025-09-05,Missing Lab name,None is not of type 'string'
BUN,,2025-09-05,Missing Lab name,None is not of type 'string'
CA,,2025-09-05,Missing Lab name,None is not of type 'string'
CHOL,,2025-09-05,Missing Lab name,None is not of type 'string'
CL,,2025-09-05,Missing Lab name,None is not of type 'string'
CREAT,,2025-09-05,Missing Lab name,None is not of type 'string'
EGFR,,2025-09-05,Missing Lab name,None is not of type 'string'
K,,2025-09-05,Missing Lab name,None is not of type 'string'
PHOS,,2025-09-05,Missing Lab name,None is not of type 'string'
SODIUM,,2025-09-05,Missing Lab name,None is not of type 'string'
TPROT,,2025-09-05,Missing Lab name,None is not of type 'string'
URATE,,2025-09-05,Missing Lab name,None is not of type 'string'
BASO,,2025-09-05,Missing Lab name,None is not of type 'string'
BASOLE,,2025-09-05,Missing Lab name,None is not of type 'string'
EOS,,2025-09-05,Missing Lab name,None is not of type 'string'
EOSLE,,2025-09-05,Missing Lab name,None is not of type 'string'
HCT,,2025-09-05,Missing Lab name,None is not of type 'string'
HGB,,2025-09-05,Missing Lab name,None is not of type 'string'
LYM,,2025-09-05,Missing Lab name,None is not of type 'string'
LYMLE,,2025-09-05,Missing Lab name,None is not of type 'string'
MONO,,2025-09-05,Missing Lab name,None is not of type 'string'
MONOLE,,2025-09-05,Missing Lab name,None is not of type 'string'
NEUT,,2025-09-05,Missing Lab name,None is not of type 'string'
NEUTLE,,2025-09-05,Missing Lab name,None is not of type 'string'
PLAT,,2025-09-05,Missing Lab name,None is not of type 'string'
RBC,,2025-09-05,Missing Lab name,None is not of type 'string'
WBC,,2025-09-05,Missing Lab name,None is not of type 'string'
EPIRCE,,2025-09-05,Missing Lab name,None is not of type 'string'
EPISQCUS,,2025-09-05,Missing Lab name,None is not of type 'string'
EPITCEC,,2025-09-05,Missing Lab name,None is not of type 'string'
UALB,,2025-09-05,Missing Lab name,None is not of type 'string'
UALBCR,,2025-09-05,Missing Lab name,None is not of type 'string'
UCREAT,,2025-09-05,Missing Lab name,None is not of type 'string'
UCSWBCHP,,2025-09-05,Missing Lab name,None is not of type 'string'
UCSWBCLP,,2025-09-05,Missing Lab name,None is not of type 'string'
UPROT,,2025-09-05,Missing Lab name,None is not of type 'string'
UPROTCRT,,2025-09-05,Missing Lab name,None is not of type 'string'
URBCC,,2025-09-05,Missing Lab name,None is not of type 'string'
UYEASTC,,2025-09-05,Missing Lab name,None is not of type 'string'
ALP,,2025-09-24,Missing Lab name,None is not of type 'string'
ALT,,2025-09-24,Missing Lab name,None is not of type 'string'
AST,,2025-09-24,Missing Lab name,None is not of type 'string'
BUN,,2025-09-24,Missing Lab name,None is not of type 'string'
CREAT,,2025-09-24,Missing Lab name,None is not of type 'string'
K,,2025-09-24,Missing Lab name,None is not of type 'string'
SODIUM,,2025-09-24,Missing Lab name,None is not of type 'string'
URATE,,2025-09-24,Missing Lab name,None is not of type 'string'
BASO,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
BASOLE,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
EOS,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
EOSLE,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
HCT,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
LYM,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
LYMLE,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
MCH,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
MCHC,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
MONO,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
MONOLE,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
NEUT,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
NEUTLE,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
RBC,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
WBC,,2025-07-30,Ranges/ Units not entered,None is not of type 'string'
EGFR,,2025-07-22,Ranges/ Units not entered,None is not of type 'string'
K,,2025-03-17,Missing Lab name,None is not of type 'string'
ALB,,2025-09-29,Missing Lab name,None is not of type 'string'
ALP,,2025-09-29,Missing Lab name,None is not of type 'string'
ALT,,2025-09-29,Missing Lab name,None is not of type 'string'
AST,,2025-09-29,Missing Lab name,None is not of type 'string'
BICARB,,2025-09-29,Missing Lab name,None is not of type 'string'
BILDIR,,2025-09-29,Missing Lab name,None is not of type 'string'
BILI,,2025-09-29,Missing Lab name,None is not of type 'string'
BUN,,2025-09-29,Missing Lab name,None is not of type 'string'
CA,,2025-09-29,Missing Lab name,None is not of type 'string'
CHOL,,2025-09-29,Missing Lab name,None is not of type 'string'
CL,,2025-09-29,Missing Lab name,None is not of type 'string'
CREAT,,2025-09-29,Missing Lab name,None is not of type 'string'
EGFR,,2025-09-29,Missing Lab name,None is not of type 'string'
K,,2025-09-29,Missing Lab name,None is not of type 'string'
PHOS,,2025-09-29,Missing Lab name,None is not of type 'string'
SODIUM,,2025-09-29,Missing Lab name,None is not of type 'string'
TPROT,,2025-09-29,Missing Lab name,None is not of type 'string'
URATE,,2025-09-29,Missing Lab name,None is not of type 'string'
EGFR,,2025-07-28,Ranges/ Units not entered,None is not of type 'string'
ALB,,2025-07-28,Missing Lab name,None is not of type 'string'
ALP,,2025-07-28,Missing Lab name,None is not of type 'string'
ALT,,2025-07-28,Missing Lab name,None is not of type 'string'
AST,,2025-07-28,Missing Lab name,None is not of type 'string'
BILI,,2025-07-28,Missing Lab name,None is not of type 'string'
CA,,2025-07-28,Missing Lab name,None is not of type 'string'
CL,,2025-07-28,Missing Lab name,None is not of type 'string'
CREAT,,2025-07-28,Missing Lab name,None is not of type 'string'
EGFR,,2025-07-28,Missing Lab name,None is not of type 'string'
K,,2025-07-28,Missing Lab name,None is not of type 'string'
SODIUM,,2025-07-28,Missing Lab name,None is not of type 'string'
TPROT,,2025-07-28,Missing Lab name,None is not of type 'string'
URATE,,2025-07-28,Missing Lab name,None is not of type 'string'
BASO,,2025-07-28,Missing Lab name,None is not of type 'string'
BASOLE,,2025-07-28,Missing Lab name,None is not of type 'string'
EOS,,2025-07-28,Missing Lab name,None is not of type 'string'
EOSLE,,2025-07-28,Missing Lab name,None is not of type 'string'
HCT,,2025-07-28,Missing Lab name,None is not of type 'string'
HGB,,2025-07-28,Missing Lab name,None is not of type 'string'
LYM,,2025-07-28,Missing Lab name,None is not of type 'string'
LYMLE,,2025-07-28,Missing Lab name,None is not of type 'string'
MCH,,2025-07-28,Missing Lab name,None is not of type 'string'
MCHC,,2025-07-28,Missing Lab name,None is not of type 'string'
MONO,,2025-07-28,Missing Lab name,None is not of type 'string'
MONOLE,,2025-07-28,Missing Lab name,None is not of type 'string'
NEUT,,2025-07-28,Missing Lab name,None is not of type 'string'
NEUTLE,,2025-07-28,Missing Lab name,None is not of type 'string'
PLAT,,2025-07-28,Missing Lab name,None is not of type 'string'
RBC,,2025-07-28,Missing Lab name,None is not of type 'string'
WBC,,2025-07-28,Missing Lab name,None is not of type 'string'
EPIRCE,,2025-07-28,Missing Lab name,None is not of type 'string'
EPISQCUS,,2025-07-28,Missing Lab name,None is not of type 'string'
UALB,,2025-07-28,Missing Lab name,None is not of type 'string'
UALB24HE,,2025-07-28,Missing Lab name,None is not of type 'string'
UALBCR,,2025-07-28,Missing Lab name,None is not of type 'string'
UCREA24H,,2025-07-28,Missing Lab name,None is not of type 'string'
UCREAT,,2025-07-28,Missing Lab name,None is not of type 'string'
UCSHYALP,,2025-07-28,Missing Lab name,None is not of type 'string'
UCSWBCLP,,2025-07-28,Missing Lab name,None is not of type 'string'
UPROT,,2025-07-28,Missing Lab name,None is not of type 'string'
UPROTCRT,,2025-07-28,Missing Lab name,None is not of type 'string'
UTOTPRTE,,2025-07-28,Missing Lab name,None is not of type 'string'
CL,,2025-10-17,Missing Lab name,None is not of type 'string'
CREAT,,2025-10-17,Missing Lab name,None is not of type 'string'
K,,2025-10-17,Missing Lab name,None is not of type 'string'
SODIUM,,2025-10-17,Missing Lab name,None is not of type 'string'
URATE,,2025-10-17,Missing Lab name,None is not of type 'string'
BASOLE,,2025-10-17,Missing Lab name,None is not of type 'string'
EOSLE,,2025-10-17,Missing Lab name,None is not of type 'string'
HCT,,2025-10-17,Missing Lab name,None is not of type 'string'
HGB,,2025-10-17,Missing Lab name,None is not of type 'string'
LYMLE,,2025-10-17,Missing Lab name,None is not of type 'string'
MCH,,2025-10-17,Missing Lab name,None is not of type 'string'
MCHC,,2025-10-17,Missing Lab name,None is not of type 'string'
MONOLE,,2025-10-17,Missing Lab name,None is not of type 'string'
NEUTLE,,2025-10-17,Missing Lab name,None is not of type 'string'
PLAT,,2025-10-17,Missing Lab name,None is not of type 'string'
RBC,,2025-10-17,Missing Lab name,None is not of type 'string'
WBC,,2025-10-17,Missing Lab name,None is not of type 'string'
UPROT,,2025-10-17,Missing Lab name,None is not of type 'string'
UTOTPRTE,,2025-10-17,Missing Lab name,None is not of type 'string'
BASO,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
HCT,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
LYM,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
MONO,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
NEUT,,2025-06-09,Ranges/ Units not entered,None is not of type 'string'
ALB,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
ALP,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
ALT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
AST,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
BILDIR,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
BILI,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CA,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CHOL,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CL,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
CREAT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
K,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
SODIUM,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
TPROT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
URATE,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
BASO,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
EOS,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
HGB,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
LYM,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
MONO,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
NEUT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
PLAT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
UPROT,,2025-06-19,Ranges/ Units not entered,None is not of type 'string'
UALB,,2025-01-09,Ranges/ Units not entered,None is not of type 'string'
UCREAT,,2025-01-09,Ranges/ Units not entered,None is not of type 'string'
UPROTCRT,,2025-01-09,Ranges/ Units not entered,None is not of type 'string'
RBC,,2025-02-20,Ranges/ Units not entered,None is not of type 'string'
UALB,,2025-02-24,Ranges/ Units not entered,None is not of type 'string'
UCREAT,,2025-02-24,Ranges/ Units not entered,None is not of type 'string'
UALB,,2025-02-20,Ranges/ Units not entered,None is not of type 'string'
UCREAT,,2025-02-20,Ranges/ Units not entered,None is not of type 'string'
CL,,2025-05-20,Missing Lab name,None is not of type 'string'
CREAT,,2025-05-20,Missing Lab name,None is not of type 'string'
EGFR,,2025-05-20,Missing Lab name,None is not of type 'string'
K,,2025-05-20,Missing Lab name,None is not of type 'string'
SODIUM,,2025-05-20,Missing Lab name,None is not of type 'string'
ALB,,2025-06-03,Missing Lab name,None is not of type 'string'
ALP,,2025-06-03,Missing Lab name,None is not of type 'string'
ALT,,2025-06-03,Missing Lab name,None is not of type 'string'
AST,,2025-06-03,Missing Lab name,None is not of type 'string'
BICARB,,2025-06-03,Missing Lab name,None is not of type 'string'
BILDIR,,2025-06-03,Missing Lab name,None is not of type 'string'
BILI,,2025-06-03,Missing Lab name,None is not of type 'string'
BUN,,2025-06-03,Missing Lab name,None is not of type 'string'
CA,,2025-06-03,Missing Lab name,None is not of type 'string'
CHOL,,2025-06-03,Missing Lab name,None is not of type 'string'
CL,,2025-06-03,Missing Lab name,None is not of type 'string'
CREAT,,2025-06-03,Missing Lab name,None is not of type 'string'
EGFR,,2025-06-03,Missing Lab name,None is not of type 'string'
K,,2025-06-03,Missing Lab name,None is not of type 'string'
SODIUM,,2025-06-03,Missing Lab name,None is not of type 'string'
TPROT,,2025-06-03,Missing Lab name,None is not of type 'string'
URATE,,2025-06-03,Missing Lab name,None is not of type 'string'
ALB,,2025-01-08,Missing Lab name,None is not of type 'string'
ALP,,2025-01-08,Missing Lab name,None is not of type 'string'
BILDIR,,2025-01-08,Missing Lab name,None is not of type 'string'
BILI,,2025-01-08,Missing Lab name,None is not of type 'string'
CL,,2025-01-08,Missing Lab name,None is not of type 'string'
CREAT,,2025-01-08,Missing Lab name,None is not of type 'string'
EGFR,,2025-01-08,Missing Lab name,None is not of type 'string'
K,,2025-01-08,Missing Lab name,None is not of type 'string'
SODIUM,,2025-01-08,Missing Lab name,None is not of type 'string'
TPROT,,2025-01-08,Missing Lab name,None is not of type 'string'
BASO,,2025-01-08,Missing Lab name,None is not of type 'string'
EOS,,2025-01-08,Missing Lab name,None is not of type 'string'
HCT,,2025-01-08,Missing Lab name,None is not of type 'string'
HGB,,2025-01-08,Missing Lab name,None is not of type 'string'
LYM,,2025-01-08,Missing Lab name,None is not of type 'string'
MONO,,2025-01-08,Missing Lab name,None is not of type 'string'
NEUT,,2025-01-08,Missing Lab name,None is not of type 'string'
PLAT,,2025-01-08,Missing Lab name,None is not of type 'string'
ALB,,2025-09-05,Missing Lab name,None is not of type 'string'
ALP,,2025-09-05,Missing Lab name,None is not of type 'string'
ALT,,2025-09-05,Missing Lab name,None is not of type 'string'
BUN,,2025-09-05,Missing Lab name,None is not of type 'string'
CA,,2025-09-05,Missing Lab name,None is not of type 'string'
CHOL,,2025-09-05,Missing Lab name,None is not of type 'string'
CL,,2025-09-05,Missing Lab name,None is not of type 'string'
CREAT,,2025-09-05,Missing Lab name,None is not of type 'string'
EGFR,,2025-09-05,Missing Lab name,None is not of type 'string'
K,,2025-09-05,Missing Lab name,None is not of type 'string'
PHOS,,2025-09-05,Missing Lab name,None is not of type 'string'
SODIUM,,2025-09-05,Missing Lab name,None is not of type 'string'
TPROT,,2025-09-05,Missing Lab name,None is not of type 'string'
URATE,,2025-09-05,Missing Lab name,None is not of type 'string'
BASO,,2025-09-05,Missing Lab name,None is not of type 'string'
BASOLE,,2025-09-05,Missing Lab name,None is not of type 'string'
EOS,,2025-09-05,Missing Lab name,None is not of type 'string'
EOSLE,,2025-09-05,Missing Lab name,None is not of type 'string'
HCT,,2025-09-05,Missing Lab name,None is not of type 'string'
HGB,,2025-09-05,Missing Lab name,None is not of type 'string'
LYM,,2025-09-05,Missing Lab name,None is not of type 'string'
LYMLE,,2025-09-05,Missing Lab name,None is not of type 'string'
MONO,,2025-09-05,Missing Lab name,None is not of type 'string'
MONOLE,,2025-09-05,Missing Lab name,None is not of type 'string'
NEUT,,2025-09-05,Missing Lab name,None is not of type 'string'
NEUTLE,,2025-09-05,Missing Lab name,None is not of type 'string'
PLAT,,2025-09-05,Missing Lab name,None is not of type 'string'
RBC,,2025-09-05,Missing Lab name,None is not of type 'string'
WBC,,2025-09-05,Missing Lab name,None is not of type 'string'
EPIRCE,,2025-09-05,Missing Lab name,None is not of type 'string'
EPISQCUS,,2025-09-05,Missing Lab name,None is not of type 'string'
EPITCEC,,2025-09-05,Missing Lab name,None is not of type 'string'
UALB,,2025-09-05,Missing Lab name,None is not of type 'string'
UALBCR,,2025-09-05,Missing Lab name,None is not of type 'string'
UCREAT,,2025-09-05,Missing Lab name,None is not of type 'string'
UCSWBCHP,,2025-09-05,Missing Lab name,None is not of type 'string'
UCSWBCLP,,2025-09-05,Missing Lab name,None is not of type 'string'
UPROT,,2025-09-05,Missing Lab name,None is not of type 'string'
UPROTCRT,,2025-09-05,Missing Lab name,None is not of type 'string'
URBCC,,2025-09-05,Missing Lab name,None is not of type 'string'
UYEASTC,,2025-09-05,Missing Lab name,None is not of type 'string'
ALP,,2025-09-24,Missing Lab name,None is not of type 'string'
ALT,,2025-09-24,Missing Lab name,None is not of type 'string'
AST,,2025-09-24,Missing Lab name,None is not of type 'string'
BUN,,2025-09-24,Missing Lab name,None is not of type 'string'
CREAT,,2025-09-24,Missing Lab name,None is not of type 'string'
K,,2025-09-24,Missing Lab name,None is not of type 'string'
