Folder,Form,RecordPosition,AuditAction,error
68GA-NNS309 IMAGING (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,7.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,8.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,9.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,13.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,23.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,27.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 1 (1),,5.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 15 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
CYCLE 1 DAY 22 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 29 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
CYCLE 1 DAY 36 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage Inactivated.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,1.0,Record Inactivated.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
DISEASE PROGRESSION FU 2 (1),,nan,DataPage Inactivated.,None is not of type 'string'
DISEASE PROGRESSION FU 2 (1),,nan,DataPage Inactivated.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,14.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,15.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,16.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,17.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
PROCEDURES (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
PROTOCOL DEVIATION,,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
PROTOCOL DEVIATION,,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
SCREENING,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,5.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,6.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT,,12.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,13.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,3.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,4.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,5.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,6.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,7.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,8.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,9.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,10.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,11.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,12.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,13.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,14.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,15.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,16.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,17.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,18.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,19.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,20.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,21.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,22.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,3.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,4.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,3.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,4.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,5.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,6.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,7.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,8.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,9.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,10.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,11.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,12.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,13.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,14.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,15.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,16.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,17.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,18.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,19.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,20.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,21.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,22.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,3.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,4.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,5.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_5004004_0001,,2.0,Record Inactivated.,None is not of type 'string'
CYCLE 1 DAY 36 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 2 DAY 15 (1),,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
END OF TREATMENT (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
PROCEDURES (1),,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
SCREENING,,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
SCREENING,,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
SCREENING,,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
SCREENING,,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,7.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,9.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,11.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,13.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,18.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
SCREENING,,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
SCREENING,,nan,Amendment Manager: DataPage Inactivated.,None is not of type 'string'
CYCLE 1 DAY 15 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 8 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
MEDICAL HISTORY (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
MEDICAL HISTORY (1),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,6.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
SCREENING,,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,1.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,4.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,11.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,16.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,3.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,4.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,5.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,6.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,7.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,8.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,9.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,10.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,11.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,12.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,13.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,14.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,15.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,16.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,17.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,18.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,19.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,20.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,21.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,22.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,23.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,3.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,4.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,5.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,6.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,3.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,4.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,5.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,6.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,7.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,8.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,9.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,10.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,nan,DataPage Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,1.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0002,,2.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0003,,11.0,Record Inactivated.,None is not of type 'string'
ADVERSE EVENT/eSAE - Study 17_3003001_0003,,15.0,Record Inactivated.,None is not of type 'string'
CONCOMITANT MEDICATION (1),,20.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
CONCOMITANT MEDICATION (1),,24.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
CYCLE 1 DAY 1 (1),,6.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
UNPLANNED VISIT (4),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
UNPLANNED VISIT (8),,2.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
68GA-NNS309 IMAGING (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
BLOOD COMPONENT TRANSFUSION (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
CYCLE 1 DAY 15 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
DISPOSITION,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
SCREENING,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
SCREENING,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
SCREENING,,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
PROCEDURES (1),,2.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
PROCEDURES (1),,3.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
PROCEDURES (1),,4.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
PROCEDURES (1),,5.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
SCREENING,,3.0,Record inactivated with code reason code Not Applicable.,None is not of type 'string'
ADVERSE EVENT,,15.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 1 (1),,1.0,Record inactivated with code reason code Not Done.,None is not of type 'string'
CYCLE 1 DAY 1 (1),,nan,DataPage inactivated with code reason code Not Applicable.,None is not of type 'string'
