QueryID,FieldOID,QueryStatus,MarkingGroup,OpenDate,ResponseDate,trace_id
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-11-09,2025-11-10,28c739f24b9bd42f5535fb35bbc69884110a77648e985cd678953ca8654fbebe
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-10,9673eb9ac1fdf16f6a172342d85a466a18a2dc1aac29febe085b9012c5bcbe9f
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-11-09,2025-11-10,650fa2a1c7a1bdc7924bb7a96d48bd070a1b174755040491b49a398168544783
Query_10_1,CRNUM,Answered,Site from Medical Review,2025-11-11,2025-11-12,bdfb694e364fc5d5bf1f5a3120c58f60b70fe4faf43e69abb1b11a6a4e37268b
Query_10_0,IEYN,Answered,Site from Clinical Review,2025-11-04,2025-11-04,40f83a5cebb35f22fca3e79b8cd7820d2fd0aa823b3002aa48144864226b099d
Query_10_0,IEYN,Answered,Site from Clinical Review,2025-11-04,2025-11-04,bd7fb599631448322c5cc0bf13935f0dbeda5700c8513f770bfc13363558e31e
Query_10_1,CMTRT,Answered,Site from Clinical Review,2025-08-14,2025-08-22,a95be127f476c618b14e40a7d7fc22e0b35a204c519fee54dd44744ebb3becf5
Query_10_1,CMTRT,Answered,Site from Clinical Review,2025-10-31,2025-11-04,c565581e68a107cb66a2fdafa7f9f82cb474c7641e974f1256064ba3c80db873
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-10-31,2025-11-04,34f30c64f78320bbbd5c9469c6eebb235093b0a2cb567fc1fa97591ead6804da
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-10-09,2025-10-29,05b4b6a27b0dad3311eb003fa4f71212ad5f1ec265161cac7cbf20e03d5c63ea
Query_10_0,IEYN,Answered,Site from Clinical Review,2025-11-04,2025-11-05,69e68af39ab073230abf19c1c4259c3e88be83ec0b2ab2188f305ea0b1df94d0
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-09-29,2025-10-08,e7c33b2715318c8a415fdbadb7a81b2adcba06f96e8c7d54316ecb7724b75d83
Query_10_1,PRTORGVN,Answered,Site from Field Monitor,2025-10-08,2025-10-08,29271cb77548d338801e7ab5a85f7889ad21d36392150de912d79defa43fc4a4
Query_10_1,PRTORGVN,Answered,Site from Field Monitor,2025-10-08,2025-10-08,dbfdf70824118184fedcf258c2e6493bfaf55e267d1b5bb5526e9f3101f0dd6a
Query_10_0,MHYN,Answered,Site from Clinical Review,2025-10-14,2025-10-14,2376328284f2787fe5f60734f677aa745a6e347a0d31e46771f8aa8e2135fd70
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-11,2025-11-11,9f3a3d59362bd1c4d448491655db6ea8e70a19c2f1d486ad36c174010a60b286
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-09,2025-11-11,7bff7ca501b391ee46047033ed1309b2c1df916147c4c5011faafbfbd54499df
Query_10_1,PCTIM,Answered,Site from Field Monitor,2025-10-08,2025-10-13,1b9978c12e7dcdc715cbab181ee0c3aaba7813380bede4964c39f556408044cc
Query_10_1,PCTIM,Answered,Site from Field Monitor,2025-10-08,2025-10-13,7b1cb2d40d7028f4dc8bd1a835241437f59a80c96576cdaf7cec9e3fb243ae91
Query_10_1,PCTIM,Answered,Site from Field Monitor,2025-10-08,2025-10-13,cd7db0f27988ce0169d529c9dd457fc156a254833ec17cf5f816b447bc6e8307
Query_10_2,PCTIM,Answered,Site from Field Monitor,2025-10-08,2025-10-13,6de6e48887c9adf19107c4a2757a15f472e4d31b0804d0ff69410148703c454d
Query_10_3,PCTIM,Answered,Site from Field Monitor,2025-10-08,2025-10-13,c0b20d33e9de5b95ac7e85de926602c5a9f35dcf92d88c1e6188aa7d0225924e
Query_10_1,ECSPID,Answered,Site from Field Monitor,2025-10-08,2025-10-13,0230069aa0c0cf84a2585c708b9b4325109eee6e6e8ea41d2405adb44ad03381
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-10-27,2025-11-11,30577a69a7f9a1b9897492767dc0dce48f4da1c43b5559632ca2af0170e2a1f6
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-11,4ca861838841ce1b82dea0883b301a026227567fa5661dad5c25d0b8eb2ce3e5
Query_10_0,SEX,Answered,Site from Field Monitor,2025-10-08,2025-10-08,fc11f7a05499de8bbd4f1761a33f08e20b47bd4d34ae8a1f690370ac918ac8e6
Query_10_0,AGE,Answered,Site from Clinical Review,2025-11-09,2025-11-11,c50ca619745af39086dbf8ad53f1894184d54c302dccf4b0bc93ed2f3a390b57
Query_10_0,AGE,Answered,Site from Field Monitor,2025-10-08,2025-10-15,f4d8c9403431030973666bc58dbd6f580b5450d2f826fa6d808a57a00b5bd3fc
Query_10_0,IEYN,Answered,Site from Clinical Review,2025-11-04,2025-11-05,012120c4476d871fbd424f030ac65707dac82023730a81ed6b4074d1624e3c81
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-09-16,2025-10-20,b9793b7c272240d9325c8699f3a01861044cebad01e26d7d0d6c692a73f8d199
Query_10_0,AGE,Answered,Site from Clinical Review,2025-11-07,2025-11-07,35173d532cbee29378011335cb68a302a62f4f2ae70654c7a5c09206650dccea
Query_10_0,SVSTDT,Answered,Site from Data Manager,2025-11-05,2025-11-07,8ad75ce5c4b99529d2e8c98618a9c23880de4e1f585a8e92efe2afa48f624a69
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-07,7f927ddc7be7c852366ecd353512a7bb808eb63c6a060307efe6569bda3d75f3
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-07,c299d69c6e3393ed8ed5e1593ea3290ad1b84b06561313591653a0e3f2e3c456
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-07,3fceee9e9ed1b2cd39f82ef05bd6e64e6cbf049e47e82174bca6ca5305efc94a
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-09-29,2025-10-09,797be184057628735e78fd36509dbd02c0ba0237112e88c2f86c717d6b2a5ea5
Query_10_0,AGE,Answered,Site from Medical Review,2025-11-06,2025-11-10,e8de856eec046ba4e165ec383808c2f220abacc4cdd5d5711a3e009f004a2351
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-11-09,2025-11-11,2e592657ea8b47d122b2e609a2d43c40e0c8a93ca730e824a7829b63cc21f9d4
Query_10_2,PCTIM,Answered,Site from Field Monitor,2025-10-30,2025-11-05,7a60f8cb90da4c4c6ed5b143b6b4dd4d962fe3f7563a5f8a1b0167b5eb55be35
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-11-09,2025-11-11,e7ecb6609477a1654231e88b14a64df887fb084bb82f1ca770bc30ed9b3062c8
Query_10_1,DSSTDAT,Answered,Site from Field Monitor,2025-10-24,2025-10-30,1aadd53b3b8a56788b1a31fea3a76871d4a7597f7114fadab611e4a36b745df7
Query_10_0,FARESCD_2,Answered,Site from Field Monitor,2025-10-24,2025-10-30,2c1da7ba66800cf7b18bebb4e1c86a091bf7f347e1edbe00a660e7cc53610994
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-11-09,2025-11-10,fe4dc2e2c6ab2f0a61411cba5a5e13fffd484e35af1f81c4686a505204a2861b
Query_10_0,SVSTDT,Answered,Site from Data Manager,2025-11-13,2025-11-13,0479f282718714a0f0f74d2698208acfd209258c3367bd20ccaf59c5215afc5a
Query_10_1,ASSNAME,Answered,Site from Field Monitor,2025-10-24,2025-10-30,806fdbb0267f47447970ab9cf57f82f2425befb24f470b9cfd6325bf2225cbee
Query_10_2,VSRESN,Answered,Site from Clinical Review,2025-11-10,2025-11-10,ac288e1413629e7bf4cf4d4d48ce8a1dabc899e8c82909835f087a6762ae9e6c
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-10,9d5a940fc9f4a10427d90707a44992a530a85b3b1c559b51f4904c8f07eaea39
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-10,047655f1dcd673722c0bacd5ee97eea12278e5ba13e467ee32f93b49681e649c
Query_10_0,AEYN,Answered,Site from Field Monitor,2025-11-05,2025-11-07,7fe2c9ac9d82bcfb8260c60ea8f30aca8320f5ac4307cd15c4fb9810e7be1705
Query_10_1,CRNUM,Answered,Site from Medical Review,2025-11-11,2025-11-13,eaf259549202fd29de007e37d0a104181edc385a0d5d006c9d2647e508415bcb
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-11,2db9c19faf0f07fc0f30a413da0c70524f1737ca29e8d9ded617b9fb14f571df
Query_10_23,CMSTDAT,Answered,Site from Field Monitor,2025-11-06,2025-11-11,fb889fd737435e9b9a720362484a293b453aea1c2539e468c28b57fd6b5e4a09
Query_10_40,CMENDAT,Answered,Site from Field Monitor,2025-11-06,2025-11-11,5b3c931884b7f9972b068fd5c1f23047261cd9e2b2113e39e4a0b98b909cb567
Query_10_46,CMTRT,Answered,Site from Field Monitor,2025-11-06,2025-11-11,5301cfcaa448285db929ff8e9818454777cc36d1257e630d2acc74b35189fc53
Query_10_58,CMTRT,Answered,Site from Field Monitor,2025-11-06,2025-11-11,82a26b4aaf9caf34242abc674d5977847378216cea94958bb35023b9d73d84bb
Query_10_5,MHSTDAT,Answered,Site from Field Monitor,2025-11-06,2025-11-11,8d39f270f8aa46e1fe0b899470b52f3d7a1a3db70ca5f87af56f18c9ae2a4b64
Query_10_0,SVSTDT,Answered,Site from Data Manager,2025-11-07,2025-11-13,fd0d245c84b945832075e01e483d029aadc05b5050a3f525f253b69efa870090
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-07,2025-11-11,8938f515905595802c846c32335043f50755f28abe33c29340e2f6e907eccfb8
Query_10_0,SVSTDT,Answered,Site from Data Manager,2025-11-07,2025-11-13,3e2188c0b5517024264fc50492f17b327c2a7867fed0b60dd022797706a91fed
Query_10_1,CRNUM,Answered,Site from Clinical Review,2025-11-03,2025-11-06,5f749abbf7098d6503d92b1e60c40a1d2e2ace3f10554472c957d6286b862332
Query_10_2,CMDOSU,Answered,Site from Clinical Review,2025-11-09,2025-11-12,66603acc5a045e209e4fcb44ae4a0cb12671be016a8965ddfc5ce4b91fa25b77
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-12,ed4f332569e7e607577324ec1d9f63d2f315f0817fa1d004a015805378e1f568
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-12,3eeca59013fe385eeb789ff07d762486e9c0ba5b409bbe4b3e10b027223d928e
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-12,1ee85f2cbf4c174e14e512e75d5459de793dc17a3187df02f53dae80e3858b77
Query_10_1,CMTRT,Answered,Site from Clinical Review,2025-10-07,2025-10-09,bf3e8c75c048f9114843cfe815cda78696ef6811c7485136fb9fe07d024c614a
Query_10_2,CMTRT,Answered,Site from Clinical Review,2025-10-07,2025-10-09,c9f1c96d2c98350a44bf0195aa722b3f2ea64252f81cb579938a4343551b9bb1
Query_10_1,MHSTDAT,Answered,Site from Clinical Review,2025-11-09,2025-11-12,7426edb0b72fe84e926b10c32224b4d6ab2a64f6da132198f32004dd762b3d15
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-10-21,2025-10-27,ad34772f4b5b0d972b5a8b30474202773695039f8f463c6d86f79556ec7e0f1c
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-13,9d90904fb65f033f9a8afa09029ab08910b86b117ed10fc99174b3bec8e2ef09
Query_10_1,SAE_ENDT,Answered,Site from Safety,2025-11-12,2025-11-13,0c4c9033650994a86f0cc82f397e9fb55c16de039bb6059e7bba1da3012e7b86
Query_10_4,CMTRT,Answered,Site from Clinical Review,2025-11-09,2025-11-10,68337c8d3915c6582e1cb45c8fb25bca5a6f6aba57348cf87af2a7acab1aacca
Query_10_1,MHTERM,Answered,Site from Clinical Review,2025-11-11,2025-11-13,39dc9bfdf2bced2ce7ab14ac788be43482dc2f3746414d17bf650e325e11f25c
Query_10_7,MHTERM,Answered,Site from System,2025-11-13,2025-11-13,e18a6c4621b4421a1b55d3fa1d39f944643a206964c5ac936cb67dbac4db6c54
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-10-21,2025-10-27,5cb20b789b12a1ab8d2c4358a3fa045aae6cef70a20648596920cafba6e05381
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-04,2025-11-13,c22986cf246e23f34661b1f637719277220c5a2b8a4921e8e9d92f07be99d586
Query_10_1,ECDOSE,Answered,Site from Clinical Review,2025-10-08,2025-10-16,f00e83cf06fd353c190b53a1a72db4c12716448eceebfc6c550e64c7f05a6977
Query_10_2,ECDOSE,Answered,Site from Clinical Review,2025-10-08,2025-10-16,658888cfe433e8f8a935d3083f9490b5d5639ded26ee8f316e76e8dfaacee96d
Query_10_0,VSDAT,Answered,Site from Clinical Review,2025-11-10,2025-11-11,6eb1efee352362e601f897cbf49bdbc9604939befd4c670b87622351958dc705
Query_10_2,CMENDAT,Answered,Site from Clinical Review,2025-10-07,2025-11-11,fb0c06b5bafc27e2c3626aa4cc2f55c109242f35abd868596206214a222f3faa
Query_10_0,SVSTDT,Answered,Site from Clinical Review,2025-11-06,2025-11-12,908d96de276ab8a28908abf460c0489377152e6eabda3aebfd6df806bf5a028c
Query_11_0,MHYN,Answered,Site from Data Manager,2025-10-31,2025-11-12,7af72e78da92969e4641746b343823e76db70ac749778c230314fa12458fb8ae
Query_11_0,SSTAT,Answered,Site from Data Manager,2025-11-03,2025-11-13,956367e6c36812a793cea215b7191c9e08c04d2c2179f0f8442b3bd1073520e9
Query_11_11,AETERM,Answered,Site from Clinical Review,2025-10-17,2025-10-28,1e346c2c12270db688cf34b8d4b00c70ea1b4cb900af55d0a92d8af420c1d40c
Query_11_11,AECONTRT,Answered,Site from Clinical Review,2025-10-30,2025-10-30,a109a32af6e5ea01eab4fa4d7424b0f9067da4216c10a91f2cb7d512f76743b9
Query_11_0,SSTAT,Answered,Site from Data Manager,2025-11-11,2025-11-13,c498a8c40f634465c67ec67795aa1cbca7c661cd8273f1930472fe6fa900fe52
Query_11_7,AETERM,Answered,Site from Clinical Review,2025-11-12,2025-11-12,ed250edaa5d8399f184703cbc616abf219384034f63e5bb1271f02b60619fbcc
Query_11_7,AETERM,Answered,Site from Clinical Review,2025-11-12,2025-11-12,f98f67c07b325fe66d1aff432efd3bf83a302e8e468c1cc8ef6da024eeac7d23
Query_11_0,FARESCD_27,Answered,Site from Clinical Review,2025-11-12,2025-11-13,748ca312a45899bbc3028d67ec7d038e6769f38f772528eedfae77b9d0b929db
Query_11_4,AETERM,Answered,Site from Clinical Review,2025-10-30,2025-11-04,69a9a1dae7512c1afe9a5feb945c2ff78ae675f836fad610c90363b71fa6bc52
Query_11_4,AETERM,Answered,Site from Clinical Review,2025-11-05,2025-11-13,79e3f4bda7134d27f71b8546e1c9a4516d8a1ae7a1f056c88e8f3e63e5993d55
Query_11_4,AESHOSP,Answered,Site from Clinical Review,2025-11-05,2025-11-13,c9d4d4a38273fbe728b1ee5598e67ac66937c443df1c4b2da121bf58581f0fab
Query_11_0,PRYN,Answered,Site from Data Manager,2025-11-11,2025-11-13,659df7866ca30cf7f71ec952e3c58832387df90455445357a27f7186b96f10e7
Query_11_0,SVSTDT,Answered,Site from Data Manager,2025-10-30,2025-11-05,efee8deae9c212893389ccac0f88cc2672147598e3c809bd598f7c8947d811b9
Query_11_1,CMSTDAT,Answered,Site from Field Monitor,2025-11-07,2025-11-14,f2e1be041a1c0f4401ca5da9a9901883c257d4b3c0b7de9d7ecd2f6d8f3a81f0
Query_11_2,TST_RSLTADD,Answered,Site from Clinical Review,2025-10-17,2025-10-21,9858e1fa0c2f323265e230e189a92e195aea1aa2412e2b55bbaaa016c0826b97
Query_13_5,MHTERM,Answered,Site from System,2025-11-12,2025-11-12,beba8bcbaff99ca4c915de601a7d1a894842be44fe5519d6b4f17376588f27b2
Query_13_1,SMPTAK,Answered,Site from System,2025-10-29,2025-10-29,178ec29bef4e53f6c12cece38886f2f04e16c10887fe56e10ef78733375ca7ab
Query_13_7,CMINDRV2,Answered,Site from Data Manager,2025-11-11,2025-11-11,1e3db53a559b0d8135405828f058221b086654e05ab3f105e8b21c5a60b5c262
Query_13_9,MHONGO,Answered,Site from Clinical Review,2025-11-07,2025-11-10,66c55b3e9cb8511da205626cb3789429a91cb7fd7e31b919b12e317d9a0f2cc6
Query_13_0,FARESDAT_1,Answered,Site from Clinical Review,2025-11-07,2025-11-10,b46d7e37586288ce92dfbd3f644746f482c0f0fa607066e32c9233c65448c349
Query_13_0,TUTNUM,Answered,Site from System,2025-11-03,2025-11-03,0580eaa89fff9a39df0c2b22c4cfa2caff79eb524f46684ca5b96504b94f6834
Query_13_1,RESTKND,Answered,Site from Clinical Review,2025-11-12,2025-11-13,a973faf2764792341d720bc8db566b8f237961a926be7a7d99cdc110102d0bad
Query_13_1,SMPTAK,Answered,Site from System,2025-11-13,2025-11-13,b205c02b8395b09a12f02b82a771737607f258566445c238602ac07cb4cf642d
Query_13_1,NUMCY,Answered,Site from System,2025-11-11,2025-11-11,e3cdde7b437db58e85992e0a1cdbb7d76eaf9cae1768fd9abc69b8f2296b2e70
Query_13_0,LBDAT,Answered,Site from Clinical Review,2025-11-08,2025-11-10,bb81703b9cce07c808c1a091f35f3e31ac7504d5b724c343c7acbc06f13e387c
Query_13_1,ECDOSE,Answered,Site from Clinical Review,2025-11-12,2025-11-13,fd658bf8aa4d626e9b0adec1eef18e5185cfd9b83aeef9742e5a1ea2ea96d2c7
Query_13_1,ECSTDAT,Answered,Site from System,2025-11-13,2025-11-13,93506d07e1ab499814deb71308f858c0d2b190f1ad534f03480aad6bfe010747
Query_13_1,ECVMEVT,Answered,Site from System,2025-11-12,2025-11-12,c5442fe2b45e43214468043acca55105d8cf2cce9be8faa88553b8001f9af2e0
Query_13_1,ECSTTIM,Answered,Site from System,2025-11-12,2025-11-12,a276d4c81f40c383af5d58db28e3e56e286c3e8e8acc72c34528599a859377e9
Query_13_1,ECSTTIM,Answered,Site from System,2025-11-12,2025-11-12,3ac7f788481419bc267fb9e747289679491427334e86bee8ac4d317a73477fd6
Query_13_1,ECDOSE,Answered,Site from Clinical Review,2025-11-12,2025-11-13,a66b15191ab798b6e6701c1cd96bdc6026ced5e4cce10892816aa68b32873f94
Query_13_1,ECSTDAT,Answered,Site from Clinical Review,2025-11-12,2025-11-13,0c8a55ab0f350dd3e8cdda74a0a07bbaac47dcb17302405ce64c53d092e031b4
Query_13_1,ECVMEVT,Answered,Site from Clinical Review,2025-11-12,2025-11-13,422db17dd1b2ed49a38e50cd020b8db2ca63ff73c71e2864b607c19ef9e37347
Query_13_1,ECSTTIM,Answered,Site from Clinical Review,2025-11-12,2025-11-13,61f0af9a0b94fb70ffe3633c03dec13b0d16d370075785076b6385411cfe6ec5
Query_13_2,ECSTDAT,Answered,Site from System,2025-11-13,2025-11-13,40c487a339c28af24b766f4dcf4fc436b6ea659b3ccd1a6fca554f2d1a8bde69
Query_13_0,SVSTDT,Answered,Site from Clinical Review,2025-11-12,2025-11-13,c61d83f5bbd1513f62b0342dbea306d7683c94d025ebdd8511751b6bedc11091
Query_13_0,TRTINTNT,Answered,Site from Clinical Review,2025-11-12,2025-11-13,b021b1c840f781ee06200e5ed746c671b00d9b71afe4aaad24e03aebe78d8c21
Query_13_1,NUMCY,Answered,Site from System,2025-11-11,2025-11-11,bdd44efd3445beb832cc19144849eee4491307452688d31c950fe2bace22d6f6
Query_13_1,CMSTDAT,Answered,Site from System,2025-11-11,2025-11-11,77aa0c5691a49ebacba9551d85db7027eed192afc2a29db64b35305c84c88518
Query_13_2,NUMCY,Answered,Site from System,2025-11-11,2025-11-11,24db055ecb9fe7093844f99ee0e6ee7add83869321d94477665a1a450164409f
Query_13_2,CMSTDAT,Answered,Site from System,2025-11-11,2025-11-11,80a08fda706e7eb32f85fdea5f43f1ff6dcda278388612a9d14a2f5d93933324
Query_13_1,CMENDAT,Answered,Site from System,2025-11-11,2025-11-11,5e6f5ad853be5bf2a7e2b4fba4b25e5a5d9d79ed5f1004a8a2285800b686d29f
Query_13_1,CMRSDISC,Answered,Site from System,2025-11-11,2025-11-11,5fd2d34252f92f6073b86bcee654af0caeadbbbf8d3a62a72495c5ca47f52927
Query_13_0,SSTAT,Answered,Site from Clinical Review,2025-10-31,2025-11-11,81b0769c35e913e647fde8548d38eeaaf9a02ddf837b99d6000bd1b08ce73291
Query_13_0,CMYN,Answered,Site from Clinical Review,2025-11-10,2025-11-11,a28dca86b73c71d9116952f6cc55b12037e43e709edb2fa7f29810a033b4808c
Query_13_1,CMSTDAT,Answered,Site from Clinical Review,2025-09-24,2025-09-26,acc023fc434cca26a218e8d0ae84e5457fbff89aff7d49c0d29fa6e82c139b17
Query_13_4,AETOXGR,Answered,Site from Clinical Review,2025-11-05,2025-11-05,49ae1952278492bc493a7959fc0c795ce78785aa87ed1c7db387fc6ae4ecce8d
Query_13_5,AEENDAT,Answered,Site from Clinical Review,2025-11-05,2025-11-05,d39095224725ba1d5b33eb1cdb5e78813a22b6d9fcc1bf90b3437c00b9ac53e2
Query_13_1,RSRESCD_1,Answered,Site from Clinical Review,2025-11-03,2025-11-05,c5634d33ad18a53b3ca7eeeecaaf41d3c402d5291ecf6245d02705cee173b1d3
Query_13_0,LBDAT,Answered,Site from Clinical Review,2025-11-04,2025-11-05,a97f754f39532d4a1a691998542c107834fb46ba5c60e3dbfe39a9d7ae74cee2
Query_13_0,VEOCCUR,Answered,Site from Clinical Review,2025-11-04,2025-11-05,d5470c2486a3e300352f520d17f6e27dc5802ec9c381f49123c16aa1b9bdedab
Query_13_1,PCDAT,Answered,Site from Clinical Review,2025-11-05,2025-11-13,9ce3e2d413c75e42367ce50c862777af3bf00ac0bc7570db79a5e40579a755d9
Query_13_2,ECSTDAT,Answered,Site from Data Manager,2025-11-11,2025-11-13,13fc603628f296befdf8718c4a7b6c9b6789a792a027a584f316723f6da2cf50
Query_13_3,EVTDLT,Answered,Site from Field Monitor,2025-11-13,2025-11-13,2ac36393664fab2e0b2669418179a76ec27555d4078fac0a3d58d1be67ced676
Query_13_3,AECONTRT,Answered,Site from Data Manager,2025-11-11,2025-11-13,7787757f7b6c9814f985a4731c3a565be4a31a8d1affd3a847f64a0dcdd38f62
Query_13_6,AETERM,Answered,Site from System,2025-11-10,2025-11-13,16c1b2db8f039969338d85f311959bdc9cb6107fecd9f96b16cf0a9967c69ea0
Query_13_7,AETERM,Answered,Site from System,2025-11-13,2025-11-13,8038080dfe1aec4911179c9b96bfd938bb9183a3f5358245a9cc25b78ac60b27
Query_13_2,CMDSTXT,Answered,Site from Field Monitor,2025-11-13,2025-11-13,f52ff0f79bc7ff1df457e3500570dedea1c0c8202dd75dbe6ddd63c701cd1b4a
Query_13_30,CMINDRV1,Answered,Site from Clinical Review,2025-11-12,2025-11-13,c10375ceb0a89817daaca9781b5cd672a39a88497d2b2a7fbf46eeac1409d5c9
Query_13_5,CMDSTXT,Answered,Site from Field Monitor,2025-11-13,2025-11-13,d16c99387dd46667628f8d75cb6b57503d2ab8b4639e2a74194a2dd4bf47a1b5
Query_13_5,CMDOSFRQ,Answered,Site from Field Monitor,2025-11-13,2025-11-13,4e056c5c9f5b707b69aa3e030de17025d17bfdd3cbd89c0c0d93b13c0b11ec9d
Query_13_0,PLAT_LBVALUE,Answered,Site from System,2025-11-13,2025-11-13,39f2e0847069bf225f792b71b6ed075c773d3a70fdb8d23055d96ba009a69290
Query_13_1,ECDOSE,Answered,Site from System,2025-11-13,2025-11-13,22a6e55dc9ea7645277b45c5d0c1d93aed3b447034b4cfcdfdec9194a4a4a524
Query_13_1,ECSTTIM,Answered,Site from System,2025-11-13,2025-11-13,fc7848f62a66e8ab26b13ef4e931833919ec4d6c0e4aabb3b6220639e09a5907
Query_13_1,QSRESCD,Answered,Site from Field Monitor,2025-11-13,2025-11-13,f910f1a4cc11697a4d4671d99cc68e331fecbe942b377d594a6025f9b69799ba
Query_13_0,VSDAT,Answered,Site from Field Monitor,2025-11-13,2025-11-13,e9efd208c96bdcf0ae8b7c9cd84205cb8fa5a203f319c9c057fbf623877c91d8
Query_13_1,ASSTIME,Answered,Site from System,2025-11-13,2025-11-13,e88b161ae299130c1c9ff0d87a323a8939fdc8a02f00ed82adc0dea36395ac05
Query_13_0,LDH_LBVALUE,Answered,Site from Field Monitor,2025-11-13,2025-11-13,90a9e75330191fef38d282b157a487e24950ed37f2d5c44d079520295211f01d
Query_13_6,PRSTDAT,Answered,Site from Clinical Review,2025-10-22,2025-11-10,29a6c9fa7d72cbdfbb8080000dc495d5fc80f3a5caa5de03bce6acac6fc6947d
